geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
bhr,Bahrain,-3.56509,13.49015,22.76255,25.02897,27.05949,31.65234,35.53168,43.65794,44.41981,48.1341,53.39379,60.26557,65.84368,66.0479,94.80199,112.1298,115.48817,130.63375,130.52289,140.35626,141.75829,151.86757,167.82586,177.59004,179.03458,178.92039,181.37185,181.9395,207.14018,207.11684,210.71027,202.48731,211.96059
bhs,Bahamas,-9.64832,-22.07697,-19.90425,-11.2134,2.66986,14.59216,15.54962,32.7656,19.30584,-8.23053,-8.67244,0.00921,-25.51096,-19.57282,-20.81569,0.81016,20.90775,25.32683,4.24415,18.109,-21.36807,-6.38004,0.44191,4.6032,3.13018,14.64739,26.45922,42.01804,63.12834,32.3329,46.39109,47.00792,55.00829
bih,Bosnia and Herzegovina,-10.50742,-33.96153,-44.57598,-86.57394,-85.70062,-82.10035,-64.50468,-55.03213,-55.67796,-41.88686,-42.63727,-39.66085,-38.1938,-34.75874,-31.45391,-23.94855,-19.73825,-11.89593,-11.86419,-9.59545,2.81812,-5.14668,-5.54387,-15.38715,-15.25204,-4.36005,-2.38472,-2.08968,-8.05596,-8.31071,-6.54496,-7.57088,-10.48464
blr,Belarus,-3.68714,-12.97441,-24.86573,-35.95122,-42.74227,-41.85978,-41.43489,-42.8555,-44.88911,-46.69094,-47.89636,-47.70401,-47.0967,-43.91651,-43.12879,-40.81365,-42.14539,-38.63336,-41.60678,-37.34796,-40.33673,-39.10232,-38.94966,-39.38422,-43.93452,-44.03401,-42.93558,-39.77245,-41.84254,-44.88324,-44.43588,-46.15205,-48.664
blz,Belize,14.64968,-4.37898,-6.76752,-9.47452,2.30892,-15.04777,46.81529,49.20382,55.89172,10.11146,11.94268,11.86306,17.99363,8.28025,19.26752,38.21656,33.43949,28.82166,55.97134,85.11146,18.71019,29.14013,62.81847,62.02229,95.85987,106.52866,125.63694,96.33758,113.77389,74.36306,95.5414,108.35987,121.73567
bol,Bolivia,4.79974,12.88289,35.03555,45.74268,31.75824,27.37024,54.44117,54.54449,34.82284,24.6004,20.51325,28.58575,36.95454,43.50766,50.86453,63.6836,82.12441,94.99362,107.36751,124.54266,144.31141,158.6833,174.7493,195.44336,202.88684,224.27677,230.6111,233.34751,233.93856,181.76279,231.38902,245.46919,261.71903
bra,Brazil,3.69123,5.20374,9.89284,14.04349,23.38823,32.48611,40.70244,44.80126,48.04105,53.99104,54.83531,54.87815,52.6963,60.9727,62.7113,64.6753,73.22923,81.89083,69.8857,93.82109,104.28054,119.36323,130.59528,140.7065,128.11906,112.62274,117.94208,107.48348,106.31888,97.19451,123.00739,111.07356,111.33355
brb,Barbados,-4.62963,-7.30994,-11.79337,-14.11631,-12.06953,-14.01884,2.12801,12.36192,17.65757,-4.40221,-8.12216,-1.44574,3.67122,2.63158,5.01949,13.53151,9.11306,28.65497,29.7271,33.25211,10.34763,4.53216,18.71345,8.49578,17.0078,25.66602,10.8512,20.06173,35.51007,9.09682,23.00195,23.4243,29.33723
brn,Brunei,14.17442,24.6814,25.83256,27.76279,35.2,42.03256,51.18605,33.55814,39.72558,41.26977,36.31628,29.25349,50.06047,45.78605,39.74186,100.35581,90.33023,107.15349,86.53023,71.61163,82.81628,77.26279,81.13953,88.52558,71.2814,83.70233,83.05581,86.74651,76.82093,130.3186,126.65581,119.73256,125.95581
btn,Bhutan,3.97351,2.98013,10.20971,42.77042,77.75938,98.39956,109.71302,119.53642,122.24062,124.72406,139.90066,159.93377,164.95585,165.45254,186.1479,200.49669,208.33333,210.76159,334.93377,394.37086,507.11921,478.47682,506.84327,519.37086,620.03311,683.27815,752.31788,890.56291,983.9404,858.55408,932.17439,963.30022,996.4128
bwa,Botswana,-1.09119,20.35712,18.70616,13.80996,18.38376,6.71013,13.92333,35.5913,42.87891,45.2278,40.12967,47.90973,46.49614,43.59102,55.54099,46.96025,56.67824,59.74279,46.06037,19.53518,41.87274,24.43492,95.28803,152.84135,151.10536,139.16602,163.69659,190.71424,159.94119,115.70538,133.69943,158.01389,163.04471
caf,Central African Republic,31.71806,6.41913,15.85903,21.46004,24.79547,35.80868,35.87162,38.45186,42.54248,62.68093,70.86218,74.70107,65.00944,61.23348,59.1567,70.16992,68.47074,26.74638,23.41095,26.36879,38.07426,40.96916,-5.16048,2.01385,45.68911,56.82819,63.18439,69.41473,83.44871,90.7489,94.08433,122.02643,131.84393
can,Canada,-1.35165,1.54531,1.39667,5.3074,8.04572,11.20601,14.78671,16.64715,18.82512,23.2861,21.30299,25.78024,30.24201,27.07394,31.9247,30.20959,34.85891,30.44148,23.00445,27.49939,30.7432,28.786,30.59649,31.78555,31.02428,30.73857,34.63733,39.31728,37.86235,24.11027,27.50452,30.61375,30.54353
che,Switzerland,5.16654,5.07392,-0.08904,-2.17097,-0.41665,0.81032,-2.0634,1.1906,1.77998,-0.02142,3.15558,-0.47222,2.40619,3.61508,5.02639,4.06008,-0.36131,2.69675,-0.34725,3.40441,-5.6035,-2.67912,-0.43004,-8.70307,-10.21324,-8.97087,-11.16415,-14.07782,-14.35031,-19.91252,-16.13564,-23.20088,-23.62847
chl,Chile,-4.30075,-1.04222,5.07383,14.80455,25.79303,44.16467,63.6264,65.14337,72.77098,62.11816,55.51231,57.1226,62.92436,76.09332,78.02694,81.69068,103.9434,114.69677,105.36795,117.70272,138.02995,144.87213,157.09942,136.90946,153.9285,167.425,170.09016,170.29367,186.64168,163.34974,168.15474,167.46444,152.87635
chn,China,5.62982,10.58291,19.71276,26.20541,39.41278,38.35605,42.37631,45.88628,42.81195,51.88592,59.25394,71.91785,98.43866,128.67014,159.48713,187.95116,212.94997,222.39123,245.85076,278.33529,313.55905,326.54149,347.01274,352.18134,346.38209,347.54761,357.16023,379.33203,390.85416,397.97182,422.79006,418.8639,449.21716
civ,Cote d'Ivoire,3.11901,2.68833,8.95663,13.87571,24.58531,55.8494,89.7278,83.86326,145.52,134.41674,135.08294,148.55489,95.62935,101.73278,115.18455,111.2513,109.7776,132.77817,115.7128,146.11554,138.16157,203.49248,229.76683,251.90942,279.02493,283.68494,314.85145,315.29222,343.80404,340.11305,388.32139,396.72959,384.92648
